"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,0,0,0,0,100,2,5,10,0,60,25,2,0,0,0,20,80
3,25,4,10,22,39,3,14,16,21,27,22,NA,35,24,21,5,15
NA,50,17,23,0,10,NA,16,12,18,10,44,NA,9,17,46,15,13
3,45,17,38,0,0,3,9,22,35,34,0,1,100,0,0,0,0
4,13,20,10,17,40,4,0,10,27,48,15,3,0,20,27,32,21
1,5,15,14,27,39,1,70,17,12,1,0,5,4,4,4,22,66
1,83,3,14,0,0,1,100,0,0,0,0,1,100,0,0,0,0
1,10,10,15,50,15,2,6,14,26,40,14,1,11,12,29,22,26
4,14,29,0,36,21,1,0,0,100,0,0,2,0,0,100,0,0
2,50,10,10,20,10,5,5,30,30,20,15,4,30,50,10,9,1
1,100,0,0,0,0,1,52,48,0,0,0,1,54,34,4,4,4
5,0,2,3,95,0,4,0,0,0,100,0,5,0,0,0,100,0
NA,0,0,100,0,0,NA,0,0,0,100,0,5,0,0,0,100,0
2,66,34,0,0,0,4,0,0,75,25,0,2,0,44,56,0,0
4,50,10,20,15,5,4,0,50,25,20,5,1,90,0,0,10,0
4,20,25,30,10,15,4,0,10,40,50,0,5,2,0,0,52,46
5,10,10,35,5,40,4,75,15,5,5,0,4,80,10,4,4,2
4,0,15,20,45,20,5,0,0,0,30,70,3,0,20,60,20,0
4,3,7,10,42,38,5,0,0,0,18,82,4,0,0,25,75,0
3,39,61,0,0,0,4,0,42,58,0,0,2,0,57,43,0,0
2,32,18,10,29,11,5,9,11,6,64,10,2,3,85,5,4,3
1,75,0,0,25,0,2,20,50,15,15,0,4,0,0,30,60,10
3,0,0,100,0,0,4,5,7,14,51,23,3,6,51,35,5,3
5,1,0,0,0,99,5,0,0,10,20,70,1,20,0,0,50,30
1,50,0,30,0,20,4,0,10,10,70,10,4,0,0,0,80,20
